nlx_149537,
PATO_0001189,OBO:PATO_0001189
nlx_organ_109077,
nlx_organ_109084,
nlx_organ_109055,
nlx_organ_109065,
nlx_organ_109071,
nlx_anat_1005023,NIFGA:nlx_anat_1005023
nifext_6234,NIFMOL:nifext_6234
nifext_5084,NIFMOL:nifext_5084
birnlex_12527,NIFDYS:birnlex_12527
nifext_5136,NIFMOL:nifext_5136
birnlex_681,NIFORG:birnlex_681
WBls:0000041,
nlx_147362,
nlx_148521,
birnlex_12550,NIFDYS:birnlex_12550
nlx_149018,
nlx_146019,
nlx_organ_109025,
nlx_148840,
nlx_149005,
nlx_149065,
FBdv:00005369,
nlx_organ_109027,
nlx_organ_109026,
nlx_52049,
nlx_147747,
nlx_147752,
nlx_147739,
nlx_149017,
nlx_149015,
nlx_149023,
birnlex_461,NIFORG:birnlex_461
nlx_83525,
nlx_148091,
nlx_148987,
nlx_149006,
nlx_148513,
nlx_149003,
nlx_149002,
nlx_149004,
birnlex_479,NIFORG:birnlex_479
nlx_149020,
nlx_149010,
nlx_149009,
nlx_organ_109024,
PATO_0000500,OBO:PATO_0000500
birnlex_7243,NIFORG:birnlex_7243
PATO_0001455,OBO:PATO_0001455
PATO_0001459,OBO:PATO_0001459
birnlex_12753,NIFDYS:birnlex_12753
birnlex_3000,NIFINV:birnlex_3000
nlx_inv_100603,NIFSCID:nlx_inv_100603
nlx_15593,
birnlex_2409,NIFINV:birnlex_2409
nlx_152010,
nlx_92585,
oen_0001258,
DB00103,
birnlex_2406,NIFINV:birnlex_2406
PATO_0000011,OBO:PATO_0000011
sao2017162875,NIFSUB:sao2017162875
birnlex_12812,NIFDYS:birnlex_12812
nlx_21994,
nlx_organ_109104,
nlx_organ_109098,
nlx_organ_109101,
nlx_27227,
nlx_inv_1005011,NIFGG:nlx_inv_1005011
birnlex_2124,NIFINV:birnlex_2124
sao3826089237,NIFSUB:sao3826089237
oen_0001101,
nlx_anat_20090509,NIFGA:nlx_anat_20090509
PATO_0001629,OBO:PATO_0001629
PATO_0001629,OBO:PATO_0001629
GO:0007568,GO:0007568
birnlex_7400,NIFORG:birnlex_7400
birnlex_7400_2,NIFORG:birnlex_7400_2
CHEBI:48705,
birnlex_12672,NIFDYS:birnlex_12672
nlx_153036,
nlx_153159,
nlx_152956,
nlx_153684,
nlx_153083,
nlx_153218,
nlx_153080,
nlx_153039,
nlx_153165,
nlx_152943,
nlx_153676,
nlx_152907,
nlx_153208,
nlx_153290,
nlx_153788,
nlx_153191,
nlx_152979,
nlx_153323,
nlx_153610,
nlx_158305,
nlx_149538,
nlx_149539,
nlx_inv_1005012,NIFGG:nlx_inv_1005012
nlx_157836,
,
birnlex_12504,NIFDYS:birnlex_12504
birnlex_907,NIFGA:birnlex_907
nlx_83739,
nlx_82814,
PATO_0001295,OBO:PATO_0001295
CHEBI:16664,
nlx_49952,
DB00240,
birnlex_12700,NIFDYS:birnlex_12700
birnlex_12702,NIFDYS:birnlex_12702
nlx_inv_1005013,NIFGG:nlx_inv_1005013
nlx_24732,
birnlex_12699,NIFDYS:birnlex_12699
nlx_64478,
nlx_14436,
nlx_43003,
birnlex_12703,NIFDYS:birnlex_12703
birnlex_12707,NIFDYS:birnlex_12707
birnlex_12704,NIFDYS:birnlex_12704
DB00041,
T3D0024,
DB00092,
DB00087,
DB00630,
birnlex_12528,NIFDYS:birnlex_12528
DB00802,
CHEBI:51141,
DB00088,
DB01272,
birnlex_11009,BIRNOBI:birnlex_11009
birnlex_2174,NIFINV:birnlex_2174
PATO_0001653,OBO:PATO_0001653
PATO_0001652,OBO:PATO_0001652
birnlex_2229,NIFINV:birnlex_2229
DB01258,
CHEBI:50648,
PATO_0001421,OBO:PATO_0001421
PATO_0001430,OBO:PATO_0001430
nlx_chem_100301,NIFCHEM:nlx_chem_100301
nlx_158396,
nlx_40570,
nlx_143557,NIFGA:nlx_143557
nlx_137,
nlx_51537,
PATO_0001379,OBO:PATO_0001379
CHEBI:40279,
nlx_149540,
nlx_149541,
DB01430,
DB00918,
DB00969,
birnlex_460,NIFORG:birnlex_460
birnlex_343,NIFORG:birnlex_343
birnlex_454,NIFORG:birnlex_454
sao99825125,NIFMOL:sao99825125
sao138926812,NIFMOL:sao138926812
sao1659393491,NIFMOL:sao1659393491
sao971374186,NIFCELL:sao971374186
sao335197072,NIFMOL:sao335197072
nlx_mol_200906148,NIFMOL:nlx_mol_200906148
PATO_0001344,OBO:PATO_0001344
nlx_143539,
NEMO_5512000,
DB00058,
CHEBI:27432,
sao5396594119,NIFMOL:sao5396594119
sao7474011676,NIFSUB:sao7474011676
sao5651809446,NIFMOL:sao5651809446
sao2515005173,NIFMOL:sao2515005173
