Categorys,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Retina photoreceptor layer,Retina photoreceptor layer,"retinal photoreceptor layer,photoreceptor layer,Layer of rods and cones",nlx_152186,,,Cell layer,,"Layer of retina containing the photoreceptors, bounded by the retina pigment epithelium layer and the external limiting membrane (adapted from Wikipedia http://en.wikipedia.org/wiki/Photoreceptor_layer)",,,,,
:Category:Retina pigment epithelium layer,Retina pigment epithelium layer,"pigmented layer of retina,retinal pigment epithelium",nlx_152185,,,Cell layer,,"Outermost layer of the retina comprising the supporting cells for the neural portion of the retina (photopigment regeneration, blood). It is also dark with melanin which decreases light scatter within the eye (adapted from http://retina.anatomy.upenn.edu/~rob/lance/retina_gross.html).",,,,,
:Category:Stratum lacunosum moleculare,Stratum lacunosum moleculare,Stratum lacunosum-moleculare,birnlex_1359,,,Cell layer,,"Layer of the hippocampus lying just superficial to the stratum radiatum and bounded by the pial surface of the hippocampus.  The fibers of the perforant pathway fibers from entorhinal cortex and several other brain areas terminate in this layer.   Adapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 460)",,,,LMol,
:Category:Superior colliculus stratum lemnisci,Superior colliculus stratum lemnisci,stratum lemnisci,nlx_144110,,,Cell layer,:Category:Mammal,"Composite layer of the superior colliculus lying deep to the stratum opticum, that can be further subdivided into fiber and cell rich layers (Brodal, Neurological Anatomy, 2nd ed., 1981, pg 544)",cyto-architecture,,,,
:Category:Superior colliculus stratum opticum,Superior colliculus stratum opticum,"stratum opticum,superior colliculus optical layer",nlx_144109,,,Cell layer,:Category:Mammal,"Fiber rich layer of superior colliculus lying deep to the stratum cinereum and superficial to the stratum lemnisci, containing many optic tract fibers (Brodal, Neurological Anatomy, 2nd ed., 1981, pg 544)",cyto-architecture,,,,
:Category:Superior colliculus stratum zonale,Superior colliculus stratum zonale,"stratum zonale,zonal layer of superior colliculus",nlx_144108,,,Cell layer,:Category:Mammal,"Most superficial layer of the superior colliculus consisting primarily of thin fibers derived primarily from the occipital cortex (Brodal, Neurological Anatomy, 2nd 3d, 1981, pg. 544)",cyto-architecture,,,,
:Category:Superior colliculus superficial gray layer,Superior colliculus superficial gray layer,"stratum cinereum,outer gray layer of superior colliculus",nlx_anat_1005034,,,Cell layer,,"Layer of the superior colliculus, lying just deep to the outermost stratum zonale (Carpenter, A Core Text of Neuroanatomy, 3rd ed., 1985, pg 175)",cyto-architecture,,,SuG,
:Category:Visual cortex primary layer 1,Visual cortex primary layer 1,"Primary visual cortex layer 1,primary visual cortex layer I",nlx_152613,,,Neocortex layer 1,,Most superficial layer of the primary visual cortex,,,,,
:Category:Visual cortex primary layer 2,Visual cortex primary layer 2,,nlx_152614,,,Neocortex layer 2,,,,,,,
:Category:Visual cortex primary layer 3,Visual cortex primary layer 3,"primary visual cortex layer 3,primary visual cortex layer III",nlx_152617,,,Neocortex layer 3,,,,,,,
:Category:Visual cortex primary layer 4,Visual cortex primary layer 4,,nlx_152615,,,Neocortex layer 4,,,,,,,
:Category:Visual cortex primary layer 5,Visual cortex primary layer 5,"Primary visual cortex layer 5,primary visual cortex layer V",nlx_143939,,,Neocortex layer 5,,Layer 5 of the primary visual cortex,,,,,
:Category:Visual cortex primary layer 6,Visual cortex primary layer 6,"Primary visual cortex layer 6,primary visual cortex layer VI",nlx_152616,,,Neocortex layer 6,,,,,,,
